% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.089132141e+02 +3.089132141e+02 +5.820632141e+02 +5.820632141e+02 +7.0004e-01 +3.5452e+00 +1.6955e+00 +2.0283e+00 -3.3125e+00 +3.7050e+00 +1.7818e-01 +1.4332e+00 +1.4716e+00 -2.0174e+00 +1.4667e+00 +1.4960e+00 -2.9192e+00 -1.7236e+00 +2.9726e+00 -3.1216e+00 -1.2220e+00 +2.2015e+00 +1.0066e+00 +3.0742e+00
7 +2.372312936e+02 +2.372312936e+02 +5.103812936e+02 +5.103812936e+02 +9.8839e-01 -3.6360e+00 -3.0659e+00 -4.5126e-01 +8.9808e-01 -1.9626e+00 -3.6470e+00 -2.4348e+00 -3.2528e+00 -3.2098e+00 +6.2778e-01 -1.9545e+00 +3.2383e+00 -3.2482e+00 +1.5546e-01 -3.9157e+00 +3.2710e+00 +3.0526e+00 +2.7621e+00 -9.7658e-01
15 +8.186597351e+01 +8.186597351e+01 +3.550159735e+02 +3.550159735e+02 -1.4500e+00 +6.8307e-01 -3.7733e-01 +7.8912e-01 +3.5621e+00 +2.0457e-01 -4.6726e-01 -9.2297e-01 -3.4343e+00 -9.0306e-02 -1.9264e+00 +2.0011e+00 -1.5441e+00 -3.7599e+00 +1.1667e+00 -3.4310e+00 +3.1989e+00 +1.2439e+00 +1.1733e+00 +6.4984e-01
112 +4.591161085e+01 +4.591161085e+01 +3.190616109e+02 +3.190616109e+02 -3.6858e+00 +3.3808e+00 +1.6914e+00 +1.2237e+00 +9.9631e-01 -3.6306e+00 -2.8192e+00 -2.2345e+00 -1.4959e+00 -1.7173e+00 -1.7544e+00 -7.1252e-01 -3.2065e+00 +1.5344e-01 +2.1330e+00 -3.3769e+00 -2.3236e+00 +1.2040e+00 +2.8089e+00 -3.3139e+00
255 +3.851080323e+01 +3.851080323e+01 +3.116608032e+02 +3.116608032e+02 -3.5912e+00 +3.3162e+00 +1.8336e+00 +1.3141e+00 +9.6518e-01 -3.6879e+00 -2.7408e+00 -2.3097e+00 -1.3535e+00 -1.6549e+00 -1.6945e+00 -7.0964e-01 -3.1367e+00 +9.1895e-03 +2.1948e+00 -3.3110e+00 -2.4178e+00 +1.3645e+00 +2.7764e+00 -3.3448e+00
14757 +2.468867500e+01 +2.468867500e+01 +2.978386750e+02 +2.978386750e+02 -3.7307e+00 +4.7091e+00 +2.0068e+00 +1.1567e+00 +1.0397e+00 -3.4223e+00 -3.1846e+00 -2.6966e+00 -8.3568e-01 -1.1827e+00 -1.6152e+00 -6.3132e-01 -2.1973e+00 -4.5153e-02 +1.7687e+00 -3.3430e+00 -2.1581e+00 +1.9323e+00 +3.3941e+00 -3.9320e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.196194196e+02 +1.196194196e+02 +1.567994196e+02 +1.567994196e+02 -1.4239e+00 -3.4048e+00 +2.5019e+00 -2.6599e+00 -1.9359e+00 +1.6100e+00 +5.1591e-01 +2.0849e+00 +2.4149e+00 -3.0581e-01 +2.5792e+00 -3.5083e+00 +1.2125e+00 +2.1196e-01 +2.5681e+00 +9.5260e-02 -2.0084e-01 -2.6148e+00 +1.0475e+00 +3.7032e+00
2 +5.119332826e+01 +5.119332826e+01 +8.837332826e+01 +8.837332826e+01 -2.4480e+00 +3.9256e+00 +8.1042e-01 +3.5128e+00 +1.5192e+00 -2.3327e+00 +6.2500e-01 +3.0343e+00 -2.9792e+00 +8.3119e-01 +1.6902e+00 -1.8187e+00 -2.0050e+00 -3.6789e+00 +1.7953e+00 +1.9641e+00 -8.1897e-01 +1.4292e-01 -1.9018e+00 +2.5941e+00
54 +3.899392832e+01 +3.899392832e+01 +7.617392832e+01 +7.617392832e+01 -2.2412e+00 +1.0842e+00 -8.8924e-01 -2.2893e+00 -8.6954e-01 +2.9606e+00 +8.5753e-02 -2.6036e+00 -2.8984e+00 +3.5410e+00 +2.2259e+00 -7.3216e-01 -1.6533e+00 -2.8602e+00 -6.2475e-01 -2.4950e+00 +1.7992e+00 -1.5070e+00 +2.6754e+00 +2.1364e+00
159 +1.874068870e+01 +1.874068870e+01 +5.592068870e+01 +5.592068870e+01 -1.6893e+00 +1.4584e+00 +1.7243e+00 +1.0408e+00 -3.3222e+00 +4.6317e-01 -1.5513e+00 -3.6326e+00 -3.3685e-01 +2.0836e+00 -1.4556e+00 +4.1283e-02 -1.1084e+00 -1.7745e+00 +1.7672e+00 -2.9905e-01 -4.3411e-01 -2.1802e+00 +1.8283e+00 +1.0195e+00
1064 +1.474583155e+01 +1.474583155e+01 +5.192583155e+01 +5.192583155e+01 -1.4751e+00 +1.5536e+00 +1.5627e+00 +1.1207e+00 -3.3890e+00 +2.7566e-01 -1.2143e+00 -3.4807e+00 -3.1927e-01 +2.0991e+00 -1.5146e+00 +2.0407e-01 -9.5674e-01 -1.9017e+00 +1.7416e+00 -1.8280e-01 -3.7586e-01 -1.9799e+00 +1.8166e+00 +1.0061e+00
11507 +9.960597555e+00 +9.960597555e+00 +4.714059755e+01 +4.714059755e+01 -1.3775e+00 +2.0240e+00 +1.9722e+00 +9.9087e-01 -3.2086e+00 -1.9281e-01 -5.1689e-01 -3.7149e+00 +1.5778e-01 +2.2378e+00 -8.9975e-01 +8.1546e-02 -1.3322e+00 -1.8035e+00 +1.3620e+00 +4.4196e-01 -4.4882e-01 -2.8266e+00 +1.0113e+00 +6.7408e-01
23080 +6.281112956e+00 +6.281112956e+00 +4.346111296e+01 +4.346111296e+01 -1.7479e+00 +2.0796e+00 +1.7609e+00 +6.3412e-01 -2.8612e+00 -8.0377e-01 -5.3170e-01 -4.5071e+00 +4.8960e-01 +2.3059e+00 -4.3533e-01 -2.6186e-01 -1.6110e+00 -9.2657e-01 +1.4134e+00 +2.1511e-01 -3.2776e-01 -2.8085e+00 +1.0416e+00 +1.3874e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.062656650e+01 +4.062656650e+01 -1.072734335e+02 -1.072734335e+02 -2.9956e+00 -2.0898e+00 -3.6882e-01 -3.7458e+00 -7.2935e-01 +1.8479e+00 +3.7528e+00 -1.8718e+00 -2.6616e+00 +3.8804e+00 -3.4481e+00 +1.2350e+00 +4.9454e-01 -3.6763e+00 +2.6798e+00 +1.4394e+00 -2.5920e+00 +9.8151e-01 -1.6467e+00 +1.4842e+00
21 +3.827750911e+01 +3.827750911e+01 -1.096224909e+02 -1.096224909e+02 -2.9559e+00 -2.1258e+00 -4.6226e-01 -3.7603e+00 -7.2822e-01 +1.8904e+00 +3.8103e+00 -1.8910e+00 -2.5721e+00 +3.9764e+00 -3.3888e+00 +1.2606e+00 +4.5066e-01 -3.6844e+00 +2.6301e+00 +1.4159e+00 -2.6131e+00 +1.0254e+00 -1.6747e+00 +1.5399e+00
464 +2.464587565e+01 +2.464587565e+01 -1.232541243e+02 -1.232541243e+02 -2.0520e+00 -1.1583e+00 -3.2765e-01 -2.3966e+00 -2.0894e+00 -2.1363e+00 -9.2849e-01 -2.7311e+00 -2.5549e+00 -9.5365e-01 -8.5590e-01 +3.3578e+00 -8.4286e-02 -1.6630e+00 -1.6368e+00 +2.0100e+00 -1.5663e+00 +8.7637e-02 -2.1499e+00 +9.2859e-01
11174 +1.581471228e+01 +1.581471228e+01 -1.320852877e+02 -1.320852877e+02 -1.6271e+00 -1.4948e+00 -3.4627e-01 -1.9641e+00 -1.7450e+00 -1.6267e+00 -1.9469e+00 -3.0160e+00 -2.5706e+00 -7.6970e-01 +2.1117e-01 +3.6071e+00 -2.1219e-01 -1.3349e+00 -1.3879e+00 +2.2590e+00 -1.7360e+00 -5.5201e-01 -2.2025e+00 +1.2124e+00
28316 +9.842364598e+00 +9.842364598e+00 -1.380576354e+02 -1.380576354e+02 -8.2575e-01 -1.4213e+00 -3.1348e-01 -2.3728e+00 -2.0310e+00 -1.5058e+00 -2.7863e+00 -3.0702e+00 -2.7737e+00 -8.9265e-01 +4.6705e-01 +3.6097e+00 -6.7954e-01 -2.1250e+00 -1.5797e+00 +2.4121e+00 -1.2403e+00 -8.1712e-01 -1.3337e+00 +1.5024e+00
% function evaluation | noise-free fitness - Fopt (1.162600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.080506682e+02 +2.080506682e+02 +3.243106682e+02 +3.243106682e+02 +3.0858e+00 -2.7029e+00 +1.4673e-02 +1.9811e-01 -3.8433e+00 -7.1004e-01 +1.1841e+00 +3.9774e+00 -2.8404e+00 +7.7957e-01 -4.1190e-01 +1.5458e-01 +1.0392e+00 +3.0116e+00 -6.3783e-01 -3.7510e+00 +1.4999e-01 +3.3999e+00 +3.4268e+00 -1.2977e+00
2 +1.074297990e+02 +1.074297990e+02 +2.236897990e+02 +2.236897990e+02 -2.9655e+00 +2.1314e+00 -2.0457e+00 -1.2189e+00 +5.1376e-01 -2.3807e+00 +3.2618e+00 +2.2866e+00 -6.8031e-01 -3.7907e+00 +1.5203e+00 +2.9252e+00 +2.2455e-01 -1.8213e+00 -3.2399e+00 -3.0270e+00 +2.8285e-03 +8.5336e-02 -2.4757e-01 +1.1025e+00
3 +7.516962676e+01 +7.516962676e+01 +1.914296268e+02 +1.914296268e+02 -1.9471e+00 -1.0273e+00 +2.8074e+00 +2.7015e+00 +2.0006e+00 -4.7815e-01 +2.0519e+00 -2.4106e+00 +1.8569e+00 -2.1055e+00 -2.5277e+00 +1.0485e-01 -3.6333e+00 -2.2144e+00 +2.5762e-01 -3.8226e+00 -2.8625e+00 +2.6252e+00 -5.1066e-02 +1.7828e+00
8 +6.203118774e+01 +6.203118774e+01 +1.782911877e+02 +1.782911877e+02 -3.1085e+00 -2.6041e+00 +7.6287e-01 +3.6677e+00 -3.2238e+00 +3.5231e+00 -3.8823e-02 -2.1261e+00 +9.0043e-01 -3.6934e+00 -1.7899e+00 +2.5125e+00 +2.4026e+00 +7.8947e-01 +2.4718e+00 +4.0350e-01 -2.1862e+00 -9.0709e-01 -1.2197e+00 +1.1710e+00
26 +3.768395926e+01 +3.768395926e+01 +1.539439593e+02 +1.539439593e+02 -2.7543e+00 -2.1334e+00 +6.6218e-01 +3.4640e+00 -3.2294e+00 -1.4633e-01 +6.2392e-01 -1.4060e+00 +7.1376e-01 -3.8045e+00 -2.1773e-01 -1.8918e+00 +3.1208e+00 +1.0049e+00 -1.1434e+00 +2.0055e+00 +2.5808e+00 +6.2325e-01 -1.0627e+00 +1.2604e+00
1115 +2.381097872e+01 +2.381097872e+01 +1.400709787e+02 +1.400709787e+02 +5.4556e-01 +1.0720e+00 -1.2996e+00 +2.3705e+00 +1.1357e+00 +3.5185e+00 +2.1669e+00 -2.2601e+00 -2.2543e+00 -3.7681e+00 -3.4203e+00 -9.4797e-01 +3.7161e+00 +7.3707e-02 -3.0027e+00 -1.4866e+00 -7.1069e-01 +1.7255e+00 +1.9697e-01 -2.5775e+00
28779 +1.581598502e+01 +1.581598502e+01 +1.320759850e+02 +1.320759850e+02 -4.0125e-01 +7.9741e-01 -9.9761e-01 +2.2361e+00 +5.5616e-01 +3.8027e+00 +2.3027e+00 -1.8479e+00 -2.5142e+00 -4.1127e+00 -3.3357e+00 -7.4864e-01 +2.5901e+00 -7.9660e-01 -2.2608e+00 -2.1234e+00 -1.0889e+00 +1.1195e+00 +5.8400e-02 -3.6792e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.538671629e+02 +1.538671629e+02 -8.461328371e+02 -8.461328371e+02 -1.9713e-01 +3.9829e+00 +1.9363e+00 +1.1862e+00 -3.0568e+00 -3.3614e+00 -3.4417e+00 -1.2567e+00 +2.1405e+00 -3.3559e-01 +2.6511e+00 +1.5611e+00 +2.7280e+00 +2.9294e+00 -1.4711e+00 -2.4043e+00 +2.7850e+00 -3.6078e-01 -2.9849e+00 -2.8247e+00
2 +8.772383316e+01 +8.772383316e+01 -9.122761668e+02 -9.122761668e+02 -1.1389e+00 +2.7072e-01 +4.1410e-01 +3.7502e+00 -2.5606e-01 +4.4253e-01 +2.5460e+00 +4.6444e-01 -3.0489e+00 -2.4070e+00 -7.7422e-01 -1.3701e+00 -2.3598e+00 +3.7386e+00 +7.9858e-01 -1.9284e+00 -5.6557e-01 +1.7801e+00 -1.5823e+00 +1.6162e-01
3 +5.547386701e+01 +5.547386701e+01 -9.445261330e+02 -9.445261330e+02 -1.5349e+00 +7.9694e-02 -3.6338e+00 -3.9491e+00 +3.0392e+00 +1.2755e+00 +1.0166e+00 +2.4388e-01 +2.7718e+00 -7.5610e-01 -1.8501e+00 +3.6768e+00 -1.6567e+00 +1.9561e-01 -1.4991e+00 -1.4958e+00 +2.8904e+00 +2.7182e+00 +1.8674e-02 -1.1510e+00
337 +3.636555975e+01 +3.636555975e+01 -9.636344403e+02 -9.636344403e+02 -1.3475e+00 -1.3160e+00 -3.0309e+00 -9.4232e-01 +1.3668e+00 -2.0344e+00 +8.2020e-01 -2.0964e+00 +1.4388e+00 +8.8286e-01 -7.8274e-01 +1.1793e+00 -6.6545e-01 -2.7024e+00 -3.5838e+00 +1.2884e+00 +1.2777e+00 +1.5675e+00 -2.9645e+00 -9.4164e-01
1263 +2.485691340e+01 +2.485691340e+01 -9.751430866e+02 -9.751430866e+02 -1.1804e+00 -1.3977e+00 -2.7701e+00 -8.1076e-01 +1.3067e+00 -1.9998e+00 +7.8716e-01 -2.2016e+00 +1.3463e+00 +9.1430e-01 -7.7704e-01 +1.1628e+00 -8.3206e-01 -2.7815e+00 -3.3580e+00 +1.0066e+00 +1.4707e+00 +1.5560e+00 -2.7652e+00 -8.7080e-01
20488 +1.573314598e+01 +1.573314598e+01 -9.842668540e+02 -9.842668540e+02 -2.5854e+00 -6.5763e-01 -2.1347e+00 -5.2317e-01 +8.6100e-01 -1.7874e+00 +1.4800e+00 -1.6526e+00 +1.5810e+00 +5.6436e-01 -1.7319e-01 +1.5256e+00 -7.5629e-01 -3.7844e+00 -3.6270e+00 +1.1710e+00 +1.5791e+00 +6.1229e-01 -3.3011e+00 +5.9426e-02
% function evaluation | noise-free fitness - Fopt (-9.193000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.064127549e+02 +2.064127549e+02 +1.144827549e+02 +1.144827549e+02 +3.4255e+00 -2.4242e+00 -5.9394e-01 +1.7609e+00 +1.2040e+00 -1.0562e+00 +8.4036e-01 +4.1876e-01 -8.9960e-01 +1.7745e+00 -1.5988e+00 +8.9906e-02 -6.7642e-01 +3.4925e+00 -4.0259e-02 +8.4233e-01 -1.2930e+00 -1.6863e+00 -2.8277e+00 +1.4915e+00
4 +9.835125249e+01 +9.835125249e+01 +6.421252488e+00 +6.421252488e+00 -2.3970e+00 -3.1309e+00 +3.8547e+00 +3.0632e+00 +3.5053e+00 -2.3880e+00 -6.2407e-01 +1.9376e+00 -2.0112e+00 -4.5039e-02 -3.0209e+00 +8.6412e-01 -3.2479e+00 -1.7351e+00 -3.3737e+00 -2.1409e+00 -1.0469e-02 -4.0298e-01 -1.2541e-01 -3.6062e+00
83 +4.869278434e+01 +4.869278434e+01 -4.323721566e+01 -4.323721566e+01 +1.1053e+00 +6.1102e-01 -2.3556e+00 +6.8663e-01 +8.1273e-01 +3.0456e+00 -7.9651e-01 +9.1418e-01 +3.0448e+00 -1.1347e+00 +2.7715e-02 +3.9860e-01 -1.8163e+00 -1.1984e+00 -1.5966e+00 +9.3514e-01 -1.7442e+00 +1.8845e+00 -3.1008e+00 -4.2097e-01
467 +3.597696167e+01 +3.597696167e+01 -5.595303833e+01 -5.595303833e+01 +1.1513e+00 +5.3949e-01 -2.4816e+00 +7.5032e-01 +7.5435e-01 +3.1322e+00 -9.2819e-01 +1.0681e+00 +2.8746e+00 -1.1272e+00 +7.6066e-02 +4.0155e-01 -1.8181e+00 -1.1988e+00 -1.3303e+00 +9.8595e-01 -1.5940e+00 +1.7855e+00 -3.1727e+00 -3.8895e-01
% function evaluation | noise-free fitness - Fopt (1.487500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.262713559e+02 +7.262713559e+02 +8.750213559e+02 +8.750213559e+02 -1.9815e+00 -1.7694e+00 -9.5771e-01 -3.8328e+00 -1.3625e+00 +1.2546e-01 +3.7405e+00 -9.1782e-02 +3.3876e+00 -1.0810e+00 +1.4626e+00 +2.0523e+00 -1.5451e+00 -3.8817e+00 +5.4451e-02 +2.2710e-01 -3.2910e+00 +2.4458e+00 +3.4695e+00 +8.8353e-01
2 +4.239000142e+02 +4.239000142e+02 +5.726500142e+02 +5.726500142e+02 +1.4912e+00 -1.1316e+00 -3.3212e+00 -7.0851e-01 -3.4413e+00 -3.1644e+00 +1.0957e+00 +1.1020e+00 +2.8356e+00 -1.8872e+00 -6.9687e-01 -2.4125e-01 +7.8269e-01 -8.8933e-01 -8.2887e-01 +1.0767e+00 -3.3288e+00 +1.9285e+00 -1.8821e+00 +2.9367e+00
3 +1.843504182e+02 +1.843504182e+02 +3.331004182e+02 +3.331004182e+02 -2.2229e+00 +1.4565e+00 -1.0523e+00 -2.4419e+00 -8.0352e-01 +2.3185e+00 +2.0726e+00 +3.1872e+00 -3.3875e+00 +2.6380e+00 +1.8682e-01 +1.1371e+00 -1.9220e+00 +2.9687e+00 +1.3651e+00 +9.7058e-01 -1.9056e-01 -2.5566e+00 +5.7017e-01 +3.1107e-01
4 +1.300441422e+02 +1.300441422e+02 +2.787941422e+02 +2.787941422e+02 -3.0609e+00 -1.8785e+00 -2.6431e+00 -9.4543e-01 +3.0003e+00 +3.3041e+00 -1.2250e+00 -7.3593e-02 -3.3354e+00 -3.8167e+00 +6.2364e-01 +3.1375e+00 -6.5791e-01 +2.0573e+00 -1.1440e+00 +8.6772e-01 -2.6876e+00 -7.5513e-01 +2.2949e+00 -1.3755e+00
5 +9.013148538e+01 +9.013148538e+01 +2.388814854e+02 +2.388814854e+02 +2.6885e+00 -2.3680e+00 -3.8026e+00 +2.2339e+00 -2.2279e+00 -3.8392e+00 +1.5872e+00 -3.6343e+00 -3.8037e+00 -3.8226e+00 -1.7296e+00 +1.1826e+00 -6.5839e-01 +3.5962e-01 -5.2997e-01 +1.6547e+00 +1.0398e+00 -3.2775e+00 -2.2691e+00 -3.5498e-01
21 +4.569364974e+01 +4.569364974e+01 +1.944436497e+02 +1.944436497e+02 +1.5326e+00 -4.9368e-01 +2.6004e+00 +1.7441e+00 +2.1564e+00 +3.7819e-02 -7.0465e-01 +4.4339e-01 -1.3129e+00 +9.3354e-01 +3.9026e+00 +9.9650e-01 +1.6237e-01 -1.9076e+00 -1.2916e+00 +1.6783e+00 +8.3101e-01 -2.0039e+00 -3.8567e+00 -2.9607e+00
157 +3.556732580e+01 +3.556732580e+01 +1.843173258e+02 +1.843173258e+02 +1.4334e+00 -4.6451e-01 +2.5757e+00 +1.6718e+00 +2.1348e+00 +1.0231e-02 -7.7318e-01 +4.9317e-01 -1.4054e+00 +1.0309e+00 +3.9835e+00 +1.0300e+00 +2.0301e-01 -1.8930e+00 -1.3840e+00 +1.6893e+00 +8.9289e-01 -1.9339e+00 -3.7604e+00 -2.9132e+00
476 +2.206335489e+01 +2.206335489e+01 +1.708133549e+02 +1.708133549e+02 +2.7598e+00 +1.8726e+00 +8.4889e-01 +2.9453e+00 -1.1080e+00 -5.5503e-02 +2.0632e+00 +5.9265e-01 -6.5362e-01 +1.6139e+00 +2.5447e+00 -3.0753e+00 +9.1899e-01 +9.5978e-01 +6.0350e-01 +3.4677e+00 +3.2192e+00 +1.5741e+00 -1.5986e+00 +2.3738e+00
15953 +1.380277018e+01 +1.380277018e+01 +1.625527702e+02 +1.625527702e+02 +2.6197e+00 +1.4779e+00 +1.0765e+00 +2.8054e+00 -1.0382e+00 +2.2236e-01 +2.5016e+00 +6.1892e-01 +2.2635e-01 +2.2086e+00 +2.7847e+00 -2.0828e+00 +8.8206e-01 +9.8487e-01 +1.0038e+00 +3.9463e+00 +2.7414e+00 +1.3170e+00 -2.0517e+00 +1.2238e+00
% function evaluation | noise-free fitness - Fopt (-1.483000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.247340181e+01 +8.247340181e+01 -6.582659819e+01 -6.582659819e+01 +1.9445e+00 -4.9911e-01 +1.1230e+00 -3.5326e+00 +2.2785e+00 -1.0549e+00 +2.8432e+00 +3.9741e+00 +1.2672e+00 +3.3485e+00 -3.9919e+00 -8.1410e-02 +3.9119e+00 -1.5919e+00 +2.4709e+00 +1.5651e+00 +1.5040e+00 +1.6347e+00 +7.4651e-01 -1.9848e+00
21 +5.757075272e+01 +5.757075272e+01 -9.072924728e+01 -9.072924728e+01 +3.7383e-01 +9.2383e-01 -1.9209e-01 +1.3077e+00 +1.1847e+00 +1.7835e+00 -3.2954e-01 +1.9252e+00 -2.2270e+00 +3.2160e-02 -2.1142e+00 -5.1498e-01 -6.9934e-01 +7.2912e-01 +1.6224e+00 -1.2035e+00 +4.2663e-01 -1.1120e+00 +3.7055e+00 +1.6979e-01
335 +3.762060022e+01 +3.762060022e+01 -1.106793998e+02 -1.106793998e+02 +3.1790e-01 +1.3411e+00 +3.5203e-01 +9.3046e-01 +1.0642e+00 +3.5329e-01 -1.3015e-01 +7.4214e-01 -3.6038e+00 +3.2769e+00 -1.2979e+00 +4.7539e-01 -2.6411e+00 -2.5585e+00 -4.9304e-01 +7.9170e-03 +1.2835e+00 +5.7873e-01 +2.1237e-01 +7.3760e-01
1135 +2.331264244e+01 +2.331264244e+01 -1.249873576e+02 -1.249873576e+02 +2.2754e-01 +1.5005e+00 +1.4012e-02 +7.4540e-01 +1.4483e+00 +1.3690e-02 -7.5734e-02 +4.0144e-01 -3.4528e+00 +3.4567e+00 -1.4752e+00 +1.4011e-01 -2.8666e+00 -2.4510e+00 -6.1459e-01 +5.2282e-01 +1.5367e+00 +1.4085e+00 +4.0525e-01 +7.4511e-01
16957 +1.535294548e+01 +1.535294548e+01 -1.329470545e+02 -1.329470545e+02 +7.6155e-01 +1.7891e+00 -3.4602e-01 +1.8889e+00 +1.8440e+00 -4.0615e-01 +9.5242e-01 +6.6384e-01 -2.6974e+00 +2.6294e+00 -5.9725e-01 +5.1834e-01 -2.7761e+00 -3.1446e+00 +2.4254e-01 +6.8262e-01 +1.6249e+00 +2.0913e+00 +3.2704e-01 +2.7877e-01
% function evaluation | noise-free fitness - Fopt (1.702000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
