% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7621 +1.582301736e+07 +1.582301736e+07 +1.582239625e+07 +1.582239625e+07 +1.7393e-01 +3.9119e+00 +8.0141e-01 -2.6410e+00 -2.0753e+00 -1.2551e+00 +1.6798e+00 +3.9458e-01 +9.9297e-02 -1.9710e+00 -1.1866e-01 +2.1125e+00 +3.0247e+00 +2.0952e+00 +2.0784e+00 -2.3600e+00 +1.6848e-01 +9.3051e-01 -3.4360e-01 +8.5986e-01
8811 +9.929351296e+06 +9.929351296e+06 +9.928730186e+06 +9.928730186e+06 -1.6201e-01 +3.9269e+00 +3.0892e-01 -3.0558e+00 -1.6546e+00 -1.5364e+00 +1.7525e+00 -7.5942e-02 +2.6411e-01 -1.8582e+00 +9.8470e-02 +2.3686e+00 +3.2276e+00 +2.1085e+00 +2.2497e+00 -2.6394e+00 +4.7494e-01 +1.0754e+00 -1.8938e-01 +8.1151e-01
9914 +6.201371580e+06 +6.201371580e+06 +6.200750470e+06 +6.200750470e+06 -7.6430e-02 +3.9992e+00 +4.7162e-01 -3.1277e+00 -1.4336e+00 -1.7435e+00 +1.8232e+00 -3.8939e-01 +3.7041e-01 -1.5925e+00 +2.9303e-01 +2.3346e+00 +3.3862e+00 +1.8039e+00 +2.2878e+00 -2.3489e+00 +3.5187e-01 +1.3760e+00 +1.5627e-02 +6.9698e-01
10791 +3.845433679e+06 +3.845433679e+06 +3.844812569e+06 +3.844812569e+06 -1.9251e-01 +4.0252e+00 +4.0037e-01 -3.0641e+00 -1.1345e+00 -1.8406e+00 +1.8213e+00 -3.2530e-01 +6.1238e-01 -1.2157e+00 +2.2523e-01 +2.6611e+00 +3.3950e+00 +1.9155e+00 +2.4246e+00 -2.1133e+00 +4.9683e-01 +1.4693e+00 +2.0743e-02 +3.3550e-01
11559 +2.486024753e+06 +2.486024753e+06 +2.485403643e+06 +2.485403643e+06 -3.4713e-01 +4.0197e+00 +4.2874e-01 -3.0173e+00 -1.0263e+00 -1.8502e+00 +1.8197e+00 -4.4597e-01 +5.8444e-01 -9.7222e-01 +6.3434e-01 +2.8881e+00 +3.6133e+00 +1.9791e+00 +2.2613e+00 -2.0088e+00 +6.4865e-01 +1.6019e+00 +3.2109e-02 +2.7739e-01
12291 +1.579048952e+06 +1.579048952e+06 +1.578427842e+06 +1.578427842e+06 -3.5735e-01 +3.8802e+00 +3.8814e-01 -3.2456e+00 -1.0724e+00 -2.0230e+00 +1.7209e+00 -5.1071e-01 +7.5111e-01 -8.5843e-01 +8.4632e-01 +2.8553e+00 +3.3561e+00 +1.7934e+00 +2.4339e+00 -2.0150e+00 +6.5651e-01 +1.6201e+00 +2.5104e-01 +8.5550e-02
12830 +9.661153358e+05 +9.661153358e+05 +9.654942258e+05 +9.654942258e+05 -4.7123e-01 +4.0300e+00 +4.0305e-01 -3.4132e+00 -9.8686e-01 -2.0321e+00 +1.7228e+00 -5.2748e-01 +8.8333e-01 -6.6277e-01 +8.5181e-01 +2.8321e+00 +3.5132e+00 +1.5406e+00 +2.4888e+00 -1.9516e+00 +7.4025e-01 +1.7473e+00 +2.7862e-01 +1.8573e-01
13328 +6.285078809e+05 +6.285078809e+05 +6.278867709e+05 +6.278867709e+05 -4.7286e-01 +3.8525e+00 +3.3896e-01 -3.3085e+00 -8.8509e-01 -2.2108e+00 +1.6682e+00 -7.2365e-01 +9.3332e-01 -5.2116e-01 +8.4684e-01 +2.6969e+00 +3.6617e+00 +1.4842e+00 +2.5677e+00 -1.8446e+00 +8.7405e-01 +1.8266e+00 +4.4957e-01 +1.9367e-01
13928 +3.487872918e+05 +3.487872918e+05 +3.481661818e+05 +3.481661818e+05 -5.3210e-01 +3.9981e+00 +3.2410e-01 -3.4678e+00 -8.3553e-01 -2.0688e+00 +1.6399e+00 -6.0755e-01 +1.0295e+00 -4.2907e-01 +7.9655e-01 +2.7966e+00 +3.6102e+00 +1.5989e+00 +2.4365e+00 -1.9365e+00 +8.0667e-01 +1.8348e+00 +5.9263e-01 -7.8625e-03
14184 +2.400536041e+05 +2.400536041e+05 +2.394324941e+05 +2.394324941e+05 -5.6724e-01 +3.9990e+00 +3.4572e-01 -3.4682e+00 -7.6384e-01 -2.0592e+00 +1.6310e+00 -5.2631e-01 +1.0545e+00 -4.3758e-01 +9.1254e-01 +2.7237e+00 +3.5884e+00 +1.5759e+00 +2.3433e+00 -1.8975e+00 +8.9551e-01 +1.9104e+00 +5.8754e-01 -9.3046e-02
14721 +1.364779303e+05 +1.364779303e+05 +1.358568203e+05 +1.358568203e+05 -6.2720e-01 +3.9774e+00 +3.5576e-01 -3.3468e+00 -6.8990e-01 -2.1814e+00 +1.5873e+00 -8.4675e-01 +9.1581e-01 -3.8175e-01 +9.8561e-01 +2.8088e+00 +3.6720e+00 +1.4926e+00 +2.3944e+00 -1.9764e+00 +9.2040e-01 +2.0317e+00 +6.8463e-01 -7.3392e-02
15431 +8.690564261e+04 +8.690564261e+04 +8.628453261e+04 +8.628453261e+04 -6.5730e-01 +4.1400e+00 +3.9769e-01 -3.4050e+00 -7.0809e-01 -1.9695e+00 +1.6919e+00 -6.7937e-01 +9.7223e-01 -4.7797e-01 +9.3383e-01 +2.8780e+00 +3.7114e+00 +1.5623e+00 +2.3454e+00 -2.0080e+00 +1.0420e+00 +2.2096e+00 +6.1675e-01 -1.8214e-01
17072 +6.194710989e+04 +6.194710989e+04 +6.132599989e+04 +6.132599989e+04 -6.1104e-01 +4.1964e+00 +2.8156e-01 -3.3576e+00 -7.5189e-01 -2.0264e+00 +1.8708e+00 -6.6085e-01 +1.0526e+00 -3.0536e-01 +9.0757e-01 +2.7876e+00 +3.7934e+00 +1.5858e+00 +2.2420e+00 -2.0531e+00 +8.6075e-01 +2.3444e+00 +8.6102e-01 -2.3860e-01
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.270715716e+09 +2.270715716e+09 +2.270715462e+09 +2.270715462e+09 +9.0959e-01 +1.5864e+00 +2.5396e+00 -2.5887e+00 -1.0996e+00 -3.5544e+00 -2.0418e+00 +3.4796e+00 +3.8921e-02 -1.4763e+00 -1.9037e+00 -2.7878e+00 -1.2938e+00 -3.9309e+00 -1.1864e+00 +2.0521e+00 +2.8368e+00 +2.6161e+00 -1.4147e+00 +1.8205e+00
2 +7.642835798e+08 +7.642835798e+08 +7.642833250e+08 +7.642833250e+08 -2.5571e+00 -2.2494e+00 -6.2701e-01 -2.0771e+00 +1.1257e+00 +2.7825e+00 -2.2345e+00 +2.9800e-01 -3.8358e+00 -6.5615e-01 +1.1247e+00 +3.0163e+00 +1.6060e+00 +1.0125e+00 -1.9224e+00 +4.1260e-01 +3.4682e+00 -1.6788e+00 -3.7065e+00 -2.5337e+00
16 +4.761776424e+08 +4.761776424e+08 +4.761773875e+08 +4.761773875e+08 +7.2260e-01 +3.5062e+00 +2.2406e+00 -1.5196e-01 -1.8052e-01 -2.7280e+00 -1.5061e-01 -3.7575e+00 +2.1285e+00 +1.8641e+00 -5.0578e-01 -2.8662e-01 +2.1762e+00 -7.1630e-01 -1.9012e+00 -3.5555e+00 -2.9966e+00 -3.2363e+00 -3.3836e-01 +1.0762e+00
25 +2.209749572e+08 +2.209749572e+08 +2.209747024e+08 +2.209747024e+08 +1.2517e+00 +2.5624e+00 +1.3139e+00 +1.8367e+00 -3.2984e-01 +2.7612e-01 +2.0990e+00 +1.9484e-01 -2.5812e-01 +2.3541e+00 -7.2850e-01 -1.3146e+00 -1.9684e+00 +2.8760e+00 -7.5417e-01 -1.8285e+00 +3.5165e+00 +2.6004e-01 -1.3049e+00 +2.0489e+00
463 +1.582577816e+08 +1.582577816e+08 +1.582575268e+08 +1.582575268e+08 +2.8108e+00 +1.8225e+00 +2.5070e+00 -1.2091e+00 -2.1535e+00 +3.6628e+00 -1.7787e+00 +2.6163e+00 +1.8956e+00 -1.4722e+00 +3.2145e+00 -1.0587e+00 +2.3597e+00 -9.3462e-01 -2.8305e+00 +2.9256e-01 +2.7299e+00 -1.7932e+00 +6.2514e-01 -2.8653e+00
2753 +9.901828319e+07 +9.901828319e+07 +9.901802837e+07 +9.901802837e+07 +3.3060e+00 +2.1690e+00 +2.8952e+00 -1.1715e+00 -2.2952e+00 +2.5964e+00 -1.7187e+00 +2.9778e+00 +2.0451e+00 -6.1358e-01 +3.3817e+00 -5.3476e-01 +1.5934e+00 -7.7177e-01 -2.7945e+00 +2.4750e-01 +2.9865e+00 -1.5758e+00 +2.3649e-01 -2.4617e+00
5336 +6.302879765e+07 +6.302879765e+07 +6.302854283e+07 +6.302854283e+07 +2.3074e+00 +2.6636e+00 +1.1728e+00 +5.6797e-01 -1.4794e+00 -3.2252e-01 +9.0164e-01 +1.6885e+00 -2.2825e-01 +2.8902e+00 +4.1397e-01 -1.3309e+00 -1.8477e+00 +1.6703e+00 -1.2928e+00 -1.6764e+00 +3.7804e+00 +1.9431e-01 -1.8894e+00 +1.6476e+00
7281 +3.912387460e+07 +3.912387460e+07 +3.912361978e+07 +3.912361978e+07 +3.7401e+00 +2.0795e+00 +2.0031e+00 -1.1394e+00 -2.7796e+00 +1.5650e+00 -1.9268e+00 +3.4719e+00 +2.0644e+00 +4.6487e-01 +3.1894e+00 +3.2429e-01 +7.7154e-01 -4.1570e-01 -3.2543e+00 +3.3804e-01 +3.9327e+00 -1.6639e+00 -4.9303e-01 -8.0604e-01
9148 +2.442778147e+07 +2.442778147e+07 +2.442752665e+07 +2.442752665e+07 +4.1614e+00 +2.1268e+00 +1.6211e+00 -1.0364e+00 -2.8558e+00 +1.3706e+00 -1.4940e+00 +3.7280e+00 +1.8136e+00 +1.0711e+00 +3.1798e+00 +2.7144e-01 +1.3836e-01 -2.7984e-01 -3.3726e+00 +7.1606e-01 +4.4636e+00 -1.6913e+00 -8.6557e-01 -4.0425e-01
10903 +1.558279977e+07 +1.558279977e+07 +1.558254495e+07 +1.558254495e+07 +4.5389e+00 +2.1200e+00 +1.0274e+00 -7.6842e-01 -3.2810e+00 +8.2750e-01 -1.2183e+00 +3.3531e+00 +1.5673e+00 +1.3560e+00 +3.3501e+00 +1.8663e-01 +4.1560e-02 -4.2441e-01 -3.2205e+00 +9.1187e-01 +4.7192e+00 -1.7206e+00 -1.1745e+00 +9.5640e-02
11832 +9.942884360e+06 +9.942884360e+06 +9.942629540e+06 +9.942629540e+06 +4.2955e+00 +2.3432e+00 +8.0208e-01 -1.0158e+00 -2.9949e+00 +4.9361e-01 -1.2178e+00 +3.5494e+00 +1.4652e+00 +1.8969e+00 +3.5120e+00 +7.6315e-01 -8.5267e-03 -5.1852e-01 -3.5158e+00 +7.3081e-01 +4.7906e+00 -1.6183e+00 -1.1423e+00 +4.8189e-01
13061 +6.175644740e+06 +6.175644740e+06 +6.175389920e+06 +6.175389920e+06 +4.4817e+00 +2.4366e+00 +5.0609e-01 -1.0685e+00 -2.8860e+00 +2.8939e-01 -1.2534e+00 +3.3466e+00 +1.2937e+00 +2.2957e+00 +3.3175e+00 +5.5562e-01 -6.3228e-02 -5.1603e-01 -3.5330e+00 +8.9715e-01 +4.8078e+00 -1.6537e+00 -1.5294e+00 +8.4454e-01
14072 +3.922177123e+06 +3.922177123e+06 +3.921922303e+06 +3.921922303e+06 +4.5483e+00 +2.3052e+00 +3.4964e-01 -1.0953e+00 -2.7095e+00 +2.1664e-01 -1.5609e+00 +3.3877e+00 +1.2297e+00 +2.3821e+00 +3.3967e+00 +5.2174e-01 -1.1563e-01 -3.7890e-01 -3.5139e+00 +8.4388e-01 +5.0450e+00 -1.7153e+00 -1.8609e+00 +1.2904e+00
14597 +2.382301442e+06 +2.382301442e+06 +2.382046622e+06 +2.382046622e+06 +4.5193e+00 +2.3833e+00 +5.7173e-02 -1.1577e+00 -2.9107e+00 +5.1216e-02 -1.4696e+00 +3.6142e+00 +1.2710e+00 +2.5904e+00 +3.5976e+00 +4.9217e-01 -1.4891e-01 -5.0023e-01 -3.4446e+00 +8.2639e-01 +5.1371e+00 -1.6932e+00 -1.7708e+00 +1.5220e+00
15317 +1.552074559e+06 +1.552074559e+06 +1.551819739e+06 +1.551819739e+06 +4.6638e+00 +2.4629e+00 -9.3038e-02 -1.2082e+00 -3.0087e+00 -6.0441e-02 -1.2775e+00 +3.6940e+00 +1.3815e+00 +2.6866e+00 +3.4926e+00 +6.4426e-01 -1.9662e-01 -6.3739e-01 -3.3554e+00 +7.3215e-01 +5.0532e+00 -1.7637e+00 -1.7803e+00 +1.7874e+00
15826 +9.843847052e+05 +9.843847052e+05 +9.841298852e+05 +9.841298852e+05 +4.6084e+00 +2.2736e+00 -2.3952e-01 -1.2533e+00 -3.0074e+00 -3.0345e-01 -1.3112e+00 +3.6928e+00 +1.2988e+00 +2.6666e+00 +3.5420e+00 +7.9393e-01 -2.8725e-01 -6.4472e-01 -3.3991e+00 +6.5473e-01 +5.1326e+00 -1.6349e+00 -1.8144e+00 +2.0975e+00
16096 +6.199907097e+05 +6.199907097e+05 +6.197358897e+05 +6.197358897e+05 +4.5285e+00 +2.4587e+00 -3.2685e-01 -1.0681e+00 -2.7845e+00 -2.2785e-01 -1.5196e+00 +3.6187e+00 +1.1692e+00 +2.6899e+00 +3.5966e+00 +7.6955e-01 -8.5166e-02 -5.2714e-01 -3.2906e+00 +7.1926e-01 +5.2540e+00 -1.7653e+00 -1.7077e+00 +2.1444e+00
16838 +3.679443687e+05 +3.679443687e+05 +3.676895487e+05 +3.676895487e+05 +4.4490e+00 +2.5606e+00 -4.2057e-01 -9.9614e-01 -2.7483e+00 -2.4115e-01 -1.5015e+00 +3.8375e+00 +1.0777e+00 +2.6137e+00 +3.5260e+00 +8.3895e-01 -1.9743e-01 -6.1424e-01 -3.3903e+00 +5.8957e-01 +5.2147e+00 -1.8488e+00 -1.8160e+00 +2.3572e+00
17097 +2.186937674e+05 +2.186937674e+05 +2.184389474e+05 +2.184389474e+05 +4.3968e+00 +2.6022e+00 -4.4031e-01 -1.1285e+00 -2.7357e+00 -4.0367e-01 -1.4663e+00 +3.7332e+00 +9.9063e-01 +2.6598e+00 +3.5359e+00 +7.8645e-01 -3.0802e-01 -6.7690e-01 -3.4500e+00 +5.6104e-01 +5.2869e+00 -1.8893e+00 -1.8698e+00 +2.5321e+00
17468 +1.529414934e+05 +1.529414934e+05 +1.526866734e+05 +1.526866734e+05 +4.5721e+00 +2.5285e+00 -5.1646e-01 -1.0623e+00 -2.8221e+00 -3.4247e-01 -1.4625e+00 +3.7250e+00 +1.0247e+00 +2.6265e+00 +3.7069e+00 +8.9883e-01 -2.8951e-01 -7.2899e-01 -3.3811e+00 +5.9692e-01 +5.2808e+00 -1.9397e+00 -1.8697e+00 +2.6167e+00
17876 +9.083417612e+04 +9.083417612e+04 +9.057935612e+04 +9.057935612e+04 +4.5387e+00 +2.6805e+00 -4.7914e-01 -1.0808e+00 -2.7518e+00 -4.2726e-01 -1.5212e+00 +3.4826e+00 +1.0915e+00 +2.6886e+00 +3.6815e+00 +8.7029e-01 -3.7104e-01 -7.3642e-01 -3.3750e+00 +5.3280e-01 +5.2521e+00 -2.0599e+00 -1.9580e+00 +2.7152e+00
18979 +5.740549742e+04 +5.740549742e+04 +5.715067742e+04 +5.715067742e+04 +4.5670e+00 +2.6067e+00 -5.8344e-01 -1.1002e+00 -2.7837e+00 -3.3255e-01 -1.5138e+00 +3.4709e+00 +1.1677e+00 +2.7319e+00 +3.5406e+00 +9.9689e-01 -3.6561e-01 -8.0220e-01 -3.2596e+00 +6.1969e-01 +5.2801e+00 -2.0056e+00 -1.9334e+00 +2.8298e+00
20111 +3.602100803e+04 +3.602100803e+04 +3.576618803e+04 +3.576618803e+04 +4.5811e+00 +2.5047e+00 -5.5170e-01 -1.1413e+00 -2.7425e+00 -4.2020e-01 -1.4653e+00 +3.5382e+00 +1.1383e+00 +2.6492e+00 +3.5244e+00 +8.5621e-01 -3.6450e-01 -7.0732e-01 -3.2921e+00 +5.6235e-01 +5.3357e+00 -1.9312e+00 -1.9361e+00 +2.7294e+00
% function evaluation | noise-free fitness - Fopt (5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.316448516e+09 +1.316448516e+09 +1.316448573e+09 +1.316448573e+09 -2.3074e+00 -3.5833e-01 +2.4364e+00 +2.7437e+00 -6.9747e-01 -3.9054e+00 -2.5090e+00 +2.5865e+00 -1.4976e+00 +6.2299e-01 -2.3918e-01 -3.1241e+00 -8.2596e-01 -3.2406e+00 +1.5982e+00 -1.0619e+00 -4.2830e-01 +1.7004e+00 +2.3535e+00 +7.0479e-01
2 +4.586939413e+08 +4.586939413e+08 +4.586939979e+08 +4.586939979e+08 +3.1562e-01 +1.1458e+00 -9.8871e-01 -4.9640e-01 +1.0825e+00 -1.2842e+00 -1.2862e+00 +6.2906e-01 +1.9594e+00 +2.4014e+00 +1.1589e+00 -2.6700e+00 +3.2418e-01 -2.5269e+00 -2.4829e+00 -9.6848e-01 -8.1644e-01 -2.9364e+00 -3.9418e+00 +1.8706e+00
16 +3.449496942e+08 +3.449496942e+08 +3.449497509e+08 +3.449497509e+08 -1.3007e+00 +3.4176e+00 -3.6820e+00 -2.0341e+00 -5.5112e-01 -1.9493e+00 -2.1794e-02 -1.8103e+00 -1.8265e+00 +9.4605e-03 +1.6424e+00 -1.6749e+00 +2.7445e+00 +4.0338e-01 +3.4848e-01 +1.4954e+00 +6.6271e-01 -3.4796e-01 +3.6801e+00 -2.3924e+00
23 +1.361370431e+08 +1.361370431e+08 +1.361370997e+08 +1.361370997e+08 +5.6918e-01 +2.7737e-01 -3.6561e+00 +1.3913e+00 -1.1490e+00 -1.3759e+00 -1.0687e-02 -3.7881e+00 +9.8984e-01 +9.9706e-01 +9.9474e-01 -7.9073e-01 +3.3389e+00 +2.3180e+00 -2.0069e+00 -9.8514e-01 -1.6903e+00 +2.8966e-01 +2.5858e+00 +1.4714e+00
1675 +9.964199821e+07 +9.964199821e+07 +9.964205482e+07 +9.964205482e+07 -4.8301e-02 +3.5287e-02 -3.6238e+00 +1.1390e+00 -1.2572e+00 -1.1877e+00 -1.3649e-01 -3.9410e+00 +7.5545e-01 +1.2674e+00 +1.2510e+00 -6.4098e-01 +2.9871e+00 +2.7789e+00 -2.0001e+00 -8.1851e-01 -1.8344e+00 +5.2770e-01 +2.4281e+00 +7.9624e-01
4214 +6.133270743e+07 +6.133270743e+07 +6.133276404e+07 +6.133276404e+07 -1.0205e+00 -3.9116e-01 -3.4143e+00 +1.2481e+00 -1.9236e+00 -1.2371e+00 +3.4046e-01 -3.9232e+00 -4.3800e-02 +1.3422e+00 +1.4280e+00 -2.1195e-01 +2.6959e+00 +2.6970e+00 -2.2758e+00 -2.8865e-01 -1.4426e+00 +6.8106e-01 +2.1667e+00 -1.4465e-01
6726 +3.957862236e+07 +3.957862236e+07 +3.957867897e+07 +3.957867897e+07 -1.3859e+00 -8.7463e-01 -3.3535e+00 +1.6099e+00 -2.0340e+00 -1.5712e+00 +8.4746e-01 -3.4715e+00 -9.4964e-01 +1.2895e+00 +1.7841e+00 +1.3560e-01 +2.7495e+00 +2.5311e+00 -2.5542e+00 +3.6863e-01 -1.2785e+00 +9.7795e-01 +2.0355e+00 -1.0240e+00
9085 +2.504322315e+07 +2.504322315e+07 +2.504327976e+07 +2.504327976e+07 -1.8732e+00 -1.3378e+00 -3.1713e+00 +1.3651e+00 -2.3897e+00 -2.0547e+00 +1.2540e+00 -3.6040e+00 -1.3253e+00 +1.8288e+00 +2.0413e+00 +3.0174e-01 +2.4049e+00 +2.3485e+00 -2.1528e+00 +5.2890e-01 -1.0355e+00 +1.5260e+00 +1.6241e+00 -1.5140e+00
10983 +1.540893955e+07 +1.540893955e+07 +1.540899616e+07 +1.540899616e+07 -2.4648e+00 -1.6473e+00 -3.1548e+00 +1.0843e+00 -2.4334e+00 -2.0492e+00 +1.5651e+00 -3.5899e+00 -1.5378e+00 +1.7068e+00 +2.2300e+00 +6.4427e-01 +2.5809e+00 +2.0008e+00 -2.3913e+00 +6.9209e-01 -6.9537e-01 +2.0705e+00 +1.5422e+00 -2.0561e+00
12371 +9.848100212e+06 +9.848100212e+06 +9.848156822e+06 +9.848156822e+06 -2.6941e+00 -1.8349e+00 -3.2394e+00 +8.6506e-01 -2.7656e+00 -2.1250e+00 +1.8561e+00 -3.5379e+00 -1.6158e+00 +1.6623e+00 +2.6004e+00 +7.4219e-01 +2.6507e+00 +1.7716e+00 -2.1709e+00 +1.1398e+00 -6.5200e-01 +2.3785e+00 +1.4495e+00 -2.4592e+00
13622 +6.190992150e+06 +6.190992150e+06 +6.191048760e+06 +6.191048760e+06 -3.1423e+00 -1.6197e+00 -3.3117e+00 +6.0586e-01 -2.7844e+00 -2.2992e+00 +2.0523e+00 -3.5826e+00 -1.8589e+00 +1.7046e+00 +2.8821e+00 +1.0069e+00 +2.4487e+00 +1.3711e+00 -2.2208e+00 +1.6261e+00 -7.3588e-01 +2.2109e+00 +1.3171e+00 -2.8257e+00
14405 +3.973112375e+06 +3.973112375e+06 +3.973168985e+06 +3.973168985e+06 -3.3667e+00 -1.5929e+00 -3.5011e+00 +5.6609e-01 -2.7883e+00 -2.2398e+00 +2.1886e+00 -3.7084e+00 -1.6056e+00 +1.7150e+00 +3.0924e+00 +1.3033e+00 +2.5583e+00 +1.2732e+00 -2.4172e+00 +1.5807e+00 -5.3002e-01 +2.0792e+00 +1.2670e+00 -3.1523e+00
15388 +2.502330405e+06 +2.502330405e+06 +2.502387015e+06 +2.502387015e+06 -3.3797e+00 -1.8954e+00 -3.2993e+00 +5.9398e-01 -3.0699e+00 -2.3182e+00 +2.5503e+00 -3.7917e+00 -1.6480e+00 +1.9080e+00 +2.7599e+00 +1.5801e+00 +2.3144e+00 +1.3732e+00 -2.6662e+00 +1.5705e+00 -1.5198e-01 +2.2401e+00 +8.6519e-01 -3.3617e+00
15905 +1.333748585e+06 +1.333748585e+06 +1.333805195e+06 +1.333805195e+06 -3.6842e+00 -2.0975e+00 -3.5924e+00 +6.6674e-01 -2.9128e+00 -2.3428e+00 +2.6414e+00 -3.6189e+00 -1.6356e+00 +2.0635e+00 +2.8013e+00 +1.5843e+00 +2.2357e+00 +1.4113e+00 -2.6546e+00 +1.5722e+00 -1.5732e-01 +2.3085e+00 +6.5646e-01 -3.6552e+00
16298 +9.910457501e+05 +9.910457501e+05 +9.911023601e+05 +9.911023601e+05 -3.7885e+00 -2.1004e+00 -3.6249e+00 +6.1128e-01 -2.8852e+00 -2.4051e+00 +2.7747e+00 -3.4588e+00 -1.7236e+00 +2.1171e+00 +2.8602e+00 +1.7837e+00 +2.2525e+00 +1.4785e+00 -2.5984e+00 +1.5230e+00 -1.8864e-01 +2.2712e+00 +6.0790e-01 -3.7943e+00
